destination,mode,time,region,type,Total,EJ,Non-EJ,Ratio Aggregation Area,Ratio MPO
Essential Places,Bike,15,MPO,Total population,21.623,NA,NA,NA,NA
Essential Places,Bike,15,MPO,Minority status,NA,31.552,16.624,NA,1.898
Essential Places,Bike,15,MPO,Income status,NA,33.438,18.662,NA,1.792
Essential Places,Bike,15,MPO,Household vehicles,NA,48.545,17.994,NA,2.698
Essential Places,Walk,15,MPO,Total population,6.982,NA,NA,NA,NA
Essential Places,Walk,15,MPO,Minority status,NA,10.022,5.451,NA,1.839
Essential Places,Walk,15,MPO,Income status,NA,10.801,6.025,NA,1.793
Essential Places,Walk,15,MPO,Household vehicles,NA,17.397,5.788,NA,3.006
Essential Places,Bike,15,Developing Suburbs: Country Suburbs,Total population,0.889,NA,NA,NA,NA
Essential Places,Bike,15,Developing Suburbs: Country Suburbs,Minority status,NA,0.543,0.946,0.573,1.898
Essential Places,Bike,15,Developing Suburbs: Country Suburbs,Income status,NA,1.513,0.84,1.802,1.792
Essential Places,Bike,15,Developing Suburbs: Country Suburbs,Household vehicles,NA,1.474,0.904,1.63,2.698
Essential Places,Walk,15,Developing Suburbs: Country Suburbs,Total population,0.386,NA,NA,NA,NA
Essential Places,Walk,15,Developing Suburbs: Country Suburbs,Minority status,NA,0.211,0.414,0.508,1.839
Essential Places,Walk,15,Developing Suburbs: Country Suburbs,Income status,NA,0.636,0.366,1.737,1.793
Essential Places,Walk,15,Developing Suburbs: Country Suburbs,Household vehicles,NA,0.574,0.384,1.495,3.006
Essential Places,Bike,15,Developing Suburbs: Maturing New England Towns,Total population,1.98,NA,NA,NA,NA
Essential Places,Bike,15,Developing Suburbs: Maturing New England Towns,Minority status,NA,1.752,2.012,0.871,1.898
Essential Places,Bike,15,Developing Suburbs: Maturing New England Towns,Income status,NA,2.338,1.937,1.207,1.792
Essential Places,Bike,15,Developing Suburbs: Maturing New England Towns,Household vehicles,NA,2.64,2.087,1.265,2.698
Essential Places,Walk,15,Developing Suburbs: Maturing New England Towns,Total population,0.884,NA,NA,NA,NA
Essential Places,Walk,15,Developing Suburbs: Maturing New England Towns,Minority status,NA,0.771,0.899,0.857,1.839
Essential Places,Walk,15,Developing Suburbs: Maturing New England Towns,Income status,NA,1.065,0.862,1.235,1.793
Essential Places,Walk,15,Developing Suburbs: Maturing New England Towns,Household vehicles,NA,1.238,0.931,1.33,3.006
Essential Places,Bike,15,Inner Core: Metro Core Communities,Total population,49.981,NA,NA,NA,NA
Essential Places,Bike,15,Inner Core: Metro Core Communities,Minority status,NA,51.332,48.53,1.058,1.898
Essential Places,Bike,15,Inner Core: Metro Core Communities,Income status,NA,54.207,48.089,1.127,1.792
Essential Places,Bike,15,Inner Core: Metro Core Communities,Household vehicles,NA,64.037,45.826,1.397,2.698
Essential Places,Walk,15,Inner Core: Metro Core Communities,Total population,15.702,NA,NA,NA,NA
Essential Places,Walk,15,Inner Core: Metro Core Communities,Minority status,NA,15.465,15.962,0.969,1.839
Essential Places,Walk,15,Inner Core: Metro Core Communities,Income status,NA,16.4,15.391,1.066,1.793
Essential Places,Walk,15,Inner Core: Metro Core Communities,Household vehicles,NA,22.667,14.317,1.583,3.006
Essential Places,Bike,15,Inner Core: Streetcar Suburbs,Total population,13.509,NA,NA,NA,NA
Essential Places,Bike,15,Inner Core: Streetcar Suburbs,Minority status,NA,15.51,12.711,1.22,1.898
Essential Places,Bike,15,Inner Core: Streetcar Suburbs,Income status,NA,18.095,12.692,1.426,1.792
Essential Places,Bike,15,Inner Core: Streetcar Suburbs,Household vehicles,NA,36.465,11.525,3.164,2.698
Essential Places,Walk,15,Inner Core: Streetcar Suburbs,Total population,3.23,NA,NA,NA,NA
Essential Places,Walk,15,Inner Core: Streetcar Suburbs,Minority status,NA,3.952,2.942,1.343,1.839
Essential Places,Walk,15,Inner Core: Streetcar Suburbs,Income status,NA,4.771,2.956,1.614,1.793
Essential Places,Walk,15,Inner Core: Streetcar Suburbs,Household vehicles,NA,9.535,2.71,3.518,3.006
Essential Places,Bike,15,Maturing Suburbs: Established Suburbs and Cape Cod Towns,Total population,3.025,NA,NA,NA,NA
Essential Places,Bike,15,Maturing Suburbs: Established Suburbs and Cape Cod Towns,Minority status,NA,3.41,2.925,1.166,1.898
Essential Places,Bike,15,Maturing Suburbs: Established Suburbs and Cape Cod Towns,Income status,NA,2.896,3.037,0.954,1.792
Essential Places,Bike,15,Maturing Suburbs: Established Suburbs and Cape Cod Towns,Household vehicles,NA,3.468,2.881,1.204,2.698
Essential Places,Walk,15,Maturing Suburbs: Established Suburbs and Cape Cod Towns,Total population,0.824,NA,NA,NA,NA
Essential Places,Walk,15,Maturing Suburbs: Established Suburbs and Cape Cod Towns,Minority status,NA,0.839,0.82,1.024,1.839
Essential Places,Walk,15,Maturing Suburbs: Established Suburbs and Cape Cod Towns,Income status,NA,0.752,0.831,0.905,1.793
Essential Places,Walk,15,Maturing Suburbs: Established Suburbs and Cape Cod Towns,Household vehicles,NA,0.906,0.804,1.127,3.006
Essential Places,Bike,15,Maturing Suburbs: Mature Suburban Towns,Total population,4.89,NA,NA,NA,NA
Essential Places,Bike,15,Maturing Suburbs: Mature Suburban Towns,Minority status,NA,4.686,4.945,0.948,1.898
Essential Places,Bike,15,Maturing Suburbs: Mature Suburban Towns,Income status,NA,5.028,4.869,1.033,1.792
Essential Places,Bike,15,Maturing Suburbs: Mature Suburban Towns,Household vehicles,NA,5.524,4.931,1.12,2.698
Essential Places,Walk,15,Maturing Suburbs: Mature Suburban Towns,Total population,1.731,NA,NA,NA,NA
Essential Places,Walk,15,Maturing Suburbs: Mature Suburban Towns,Minority status,NA,1.7,1.739,0.977,1.839
Essential Places,Walk,15,Maturing Suburbs: Mature Suburban Towns,Income status,NA,1.859,1.712,1.086,1.793
Essential Places,Walk,15,Maturing Suburbs: Mature Suburban Towns,Household vehicles,NA,2.02,1.763,1.145,3.006
Essential Places,Bike,15,Regional Urban Centers: Sub-Regional Urban Centers,Total population,13.533,NA,NA,NA,NA
Essential Places,Bike,15,Regional Urban Centers: Sub-Regional Urban Centers,Minority status,NA,18.019,11.223,1.606,1.898
Essential Places,Bike,15,Regional Urban Centers: Sub-Regional Urban Centers,Income status,NA,18.208,12.127,1.501,1.792
Essential Places,Bike,15,Regional Urban Centers: Sub-Regional Urban Centers,Household vehicles,NA,18.509,12.664,1.462,2.698
Essential Places,Walk,15,Regional Urban Centers: Sub-Regional Urban Centers,Total population,5.885,NA,NA,NA,NA
Essential Places,Walk,15,Regional Urban Centers: Sub-Regional Urban Centers,Minority status,NA,8.67,4.451,1.948,1.839
Essential Places,Walk,15,Regional Urban Centers: Sub-Regional Urban Centers,Income status,NA,9.033,4.938,1.829,1.793
Essential Places,Walk,15,Regional Urban Centers: Sub-Regional Urban Centers,Household vehicles,NA,10.303,5.257,1.96,3.006
Essential Places,Drive,30,MPO,Total population,427.823,NA,NA,NA,NA
Essential Places,Drive,30,MPO,Minority status,NA,530.488,376.124,NA,1.41
Essential Places,Drive,30,MPO,Income status,NA,533.97,401.207,NA,1.331
Essential Places,Transit (All modes),30,MPO,Total population,48.759,NA,NA,NA,NA
Essential Places,Transit (All modes),30,MPO,Minority status,NA,68.949,38.593,NA,1.787
Essential Places,Transit (All modes),30,MPO,Income status,NA,76.115,41.9,NA,1.817
Essential Places,Transit (All modes),30,MPO,Household vehicles,NA,118.86,39.692,NA,2.995
Essential Places,Drive,30,Developing Suburbs: Country Suburbs,Total population,95.04,NA,NA,NA,NA
Essential Places,Drive,30,Developing Suburbs: Country Suburbs,Minority status,NA,98.111,94.537,1.038,1.41
Essential Places,Drive,30,Developing Suburbs: Country Suburbs,Income status,NA,89.193,95.506,0.934,1.331
Essential Places,Transit (All modes),30,Developing Suburbs: Country Suburbs,Total population,1.107,NA,NA,NA,NA
Essential Places,Transit (All modes),30,Developing Suburbs: Country Suburbs,Minority status,NA,0.709,1.172,0.605,1.787
Essential Places,Transit (All modes),30,Developing Suburbs: Country Suburbs,Income status,NA,1.78,1.053,1.69,1.817
Essential Places,Transit (All modes),30,Developing Suburbs: Country Suburbs,Household vehicles,NA,1.717,1.113,1.543,2.995
Essential Places,Drive,30,Developing Suburbs: Maturing New England Towns,Total population,105.688,NA,NA,NA,NA
Essential Places,Drive,30,Developing Suburbs: Maturing New England Towns,Minority status,NA,104.247,105.889,0.984,1.41
Essential Places,Drive,30,Developing Suburbs: Maturing New England Towns,Income status,NA,100.278,106.341,0.943,1.331
Essential Places,Transit (All modes),30,Developing Suburbs: Maturing New England Towns,Total population,2.842,NA,NA,NA,NA
Essential Places,Transit (All modes),30,Developing Suburbs: Maturing New England Towns,Minority status,NA,2.568,2.88,0.892,1.787
Essential Places,Transit (All modes),30,Developing Suburbs: Maturing New England Towns,Income status,NA,3.248,2.793,1.163,1.817
