id,weight,lon,lat
5,5,-71.1355942281554,42.35389490969526
14,12,-71.4171270829224,42.23850666746977
15,12,-71.485220593501,42.24287356537317
19,24,-71.1414376666175,42.330273232768775
22,95,-71.1063207820148,42.26158233604527
24,32,-71.0792506003865,42.31352865163788
32,35,-71.5532383430699,42.28869242466466
43,5,-71.1120398293432,42.33127003353237
55,1,-71.321640491051,42.47165429901946
77,33,-70.8854524253628,42.54601928164539
83,6,-71.1361950870151,42.35529814298156
91,5,-70.91057620746,42.184484117057465
94,69,-71.073590598389,42.346938665644274
98,56,-71.4039690614449,42.35427581906856
104,2,-71.0686869331132,42.45809462600797
133,2,-71.0642329585904,42.288272915324455
134,5,-70.998447,42.38975899999988
140,17,-71.0944798790179,42.31463529135978
159,6,-71.4594221624271,42.30287311350967
164,4,-71.1123380095142,42.52061399603876
166,1,-71.4967295320663,42.435517561839575
168,2,-71.0370076188683,42.36866265734407
178,3,-71.0737542428366,42.28954141984238
187,54,-71.0563005968591,42.340218644249966
188,96,-71.0472204407738,42.35311731683918
193,7,-71.0680306288652,42.32492865733058
207,51,-71.0607726418427,42.348588429957466
211,9,-71.0093706201298,42.38698865861786
216,17,-71.0724762730529,42.44012354011887
217,24,-71.1191454287287,42.25478923058958
220,66,-71.2054604564562,42.20529745464986
232,20,-71.0937215356167,42.36550940718036
241,11,-71.1083987997613,42.32780352114607
248,40,-71.104361175941,42.333555376874564
253,4,-71.0467871811911,42.33879728514516
256,4,-71.0737767822736,42.26981719666477
263,34,-71.1060884807429,42.32661680622927
264,60,-71.598929496992,42.42951455500605
267,2,-70.9100736435492,42.24170146842407
269,2,-71.1046336158757,42.322974373524275
274,14,-71.0758747534254,42.41114587050276
282,3,-71.1069770345397,42.32187187111966
286,52,-71.0681373564754,42.306654124139065
299,17,-71.23146861160551,42.12850215086446
301,40,-71.0840250524495,42.32195912083545
309,6,-71.0930432372754,42.38670178222097
313,109,-71.0285075565777,42.41180010022776
325,66,-71.1307295658625,42.29836952426516
332,17,-71.1075311640364,42.521341967198
336,3,-71.1199760762075,42.285966619653266
338,50,-71.0683731317327,42.364742052097185
349,7,-71.3175086542085,42.36221990262587
374,295,-70.9140758989127,42.194320455844185
376,43,-70.8782050907679,42.553890046695365
414,4,-71.3246295300449,42.46912212442587
474,23,-71.3504421468026,42.457359872996584
476,7,-71.0710337228363,42.38227838131886
485,14,-71.0942499751807,42.32291082638776
488,30,-71.0883049318408,42.34493391126556
492,11,-71.057795205519,42.351989781414275
504,3,-71.1387414153933,42.353981426063285
506,5,-71.1532792341182,42.35065245139198
508,28,-71.0249112926705,42.47457723283726
511,55,-70.9254140954045,42.24521279002696
523,80,-71.0669799021192,42.31564685946216
533,2,-71.1253252486256,42.249238828869146
547,11,-71.1402310009473,42.38913069644047
549,390,-71.2162844346329,42.30259368622517
550,40,-71.0639376107411,42.35141894181006
552,38,-71.0626840145059,42.34361816789209
570,12,-71.1037290811387,42.319289686168375
596,6,-71.3820933848931,42.475739991242875
601,30,-71.4310963583573,42.202191244849274
610,35,-71.371565225576,42.53292590016878
620,13,-71.4443710078235,42.14706653239576
647,3,-71.0258641021628,42.33724058714316
648,3,-71.3614966821974,42.367016249988374
675,4,-71.2017614475396,42.56459941639528
679,22,-70.7685945256644,42.57473382635307
689,26,-71.3801721738999,42.509169757992666
