name,alias,details
join_key,Geographic Identifier,ct10_id
title,Title,MAPC Housing Submarkets
alt_title,Alternate Title,
tbl_num,Table number from source data,
geography,Spatial Geography,Census tracts 2010
descriptn,Description,MAPC's Housing Submarket Typology classifies each census tract in the MAPC region into one of seven housing submarkets. The census tracts have been clustered into submarkets using a latent profile analysis. This dataset includes variables used in the LPA (tagged with "LPA variable") and variables MAPC has overlaid on the submarkets to understand the people, history, conditions, and opportunities within each submarket (tagged with "Overlay variable").
datesavail,Dates Available,
coverage,Coverage,MAPC region (101 municipalities)
universe,Universe,
creator,Creator/Source,MAPC
publisher,Publisher,MAPC
contributr,Contributors,
createdate,CreationDate,2020
moddate,ModificationDate,2020
ct10_id,Census Tract 2010,Census tract 2010 ID; Census 2010; Geography variable
submkt_id,Housing Submarket ID,Submarket which the tract is a part of; MAPC analysis; LPA variable
muni,Municipality,Municipality in which the tract is located; Census 2010; Geography variable
hdens10,Housing Unit Density,Housing Unit Density (units per square mile); MAPC Calculation of ACS 2017 5-year estimates; LPA variable
mhi,Median Household Income ($),Median Household Income ($); ACS 2017 5-year estimates; LPA variable
incu35_p,Households with Income $0-$35K (%),Percent of households with income $0-$35K; ACS 2017 5-year estimates; LPA variable
inc3574_p,Households with Income $35-$75K (%),Percent of households with income $35-$75K; ACS 2017 5-year estimates; LPA variable
inc7599_p,Households with Income $75-$100K (%),Percent of households with income $75-$100K; ACS 2017 5-year estimates; LPA variable
inc100o_p,Households with Income $100K+ (%),Percent of households with income $100K+; ACS 2017 5-year estimates; LPA variable
inc150o_p,Households with Income $150K+ (%),Percent of households with income $150K+; ACS 2017 5-year estimates; LPA variable
medconr,Median Contract Rent ($),Median contract rent ($); ACS 2017 5-year estimates; LPA variable
medhv,Median Home Value ($),Median home value ($); ACS 2017 5-year estimates; LPA variable
rhu_p,Renter-Occupied Housing Units (%),Percent renter-occupied housing units; ACS 2017 5-year estimates; LPA variable
bizbuy17_p,Residential Business Buyer Sales (%),Percent of residential sales purchased by business buyers (%); MAPC analysis of Warren Group 2018; LPA variable
fd17_p,Residential Foreclosures (%),Percent of residential sales with a foreclosure deed; MAPC analysis of Warren Group 2018; LPA variable
cash17_p,Cash Sales (%) ,Percent of residential sales paid in cash; MAPC analysis of Warren Group 2018; LPA variable
sales_pch,Change in Residential Home Sales (%),Percent change in residential home sales from 2003-2007 to 2012-2016; MAPC analysis of Warren Group 2018; LPA variable
vacu_p,Vacant Units (%),Percent of housing units that are vacant; ACS 2017 5-year estimates; LPA variable
bdrm3o_p,HUD Subsidized Housing Units (%),Percent of housing units that are HUD subsidized; ACS & HUD Picture of Subsidized Households; LPA variable
yrblt59_p,Three-Bedroom Units (%),Three-Bedroom Units (%); ACS 2017 5-year estimates; LPA variable
yblt6099_p,Units Built 1959 or Earlier (%),Units Built 1959 or Earlier (%); ACS 2017 5-year estimates; LPA variable
yrblt00_p,Units Built 1960-1999 (%),Units Built 1960-1999 (%); ACS 2017 5-year estimates; LPA variable
hudp_hu,Units Built 2000 or Later (%),Units Built 2000 or Later (%); ACS 2017 5-year estimates; LPA variable
u1_p,1 Unit (%),1 Unit (%); ACS 2017 5-year estimates; LPA variable
u2_4_p,2-4 Units (%),2-4 Units (%); ACS 2017 5-year estimates; LPA variable
u5ov_p,5+ Units (%),5+ Units (%); ACS 2017 5-year estimates; LPA variable
ch_medhv_p,Change in Median Home Value (%),Change in Median Home Value 2000 to 2017 (%); MAPC analysis of Warren Group 2018; LPA variable
ch_medcr_p,Change in Median Contract Rent (%),Change in Median Contract Rent (%); MAPC analysis of ACS 2010 5-year estimates and ACS 2017 5-year estimates; LPA variable
ch_rhu_p,Change in Renters (%),Change in Renters (%); MAPC analysis of US Census 2000 data and ACS 2017 5-year estimates; LPA variable
ch_pop_p,Change in Population (%),Change in Population (%); MAPC analysis of US Census 2000 data and ACS 2017 5-year estimates; LPA variable
ch_hdens_p,Change Housing Unit Density (%),Change Housing Unit Density (%); MAPC analysis of US Census 2000 data and ACS 2017 5-year estimates; LPA variable
totpop,Total Population,Population; ACS 2014-2018 5-year estimates; Overlay variable
nhaa,Black Population,Non-Hispanic Black population; ACS 2014-2018 5-year estimates; Overlay variable
nhaa_me,Black Population MOE,Non-Hispanic Black population margin of error; ACS 2014-2018 5-year estimates; Overlay variable
nhas,Asian Population,Non-Hispanic Asian population; ACS 2014-2018 5-year estimates; Overlay variable
nhas_me,Asian Population MOE,Non-Hispanic Asian population margin of error; ACS 2014-2018 5-year estimates; Overlay variable
nhwhi,White Population,Non-Hispanic White population; ACS 2014-2018 5-year estimates; Overlay variable
nhwhi_me,White Population MOE,Non-Hispanic White population marginof error; ACS 2014-2018 5-year estimates; Overlay variable
lat,Latinx Population,Hispanic population; ACS 2014-2018 5-year estimates; Overlay variable
lat_me,Latinx Population MOE,Hispanic population margin of error; ACS 2014-2018 5-year estimates; Overlay variable
nhaa_p,Percent Black,Percent of population that is non-Hispanic Black; ACS 2014-2018 5-year estimates; Overlay variable
nhaa_mep,Percent Black MOE,Percent of population that is non-Hispanic Black margin of error; ACS 2014-2018 5-year estimates; Overlay variable
nhas_p,Percent Asian,Percent of population that is non-Hispanic Asian margin of error; ACS 2014-2018 5-year estimates; Overlay variable
tbl_table,Table Name,hous_submarkets_ct
nhas_mep,Percent Asian MOE,Percent of population that is non-Hispanic Asian; ACS 2014-2018 5-year estimates; Overlay variable
lat_p,Percent Latinx,Percent of population that is Hispanic/Latinx; ACS 2014-2018 5-year estimates; Overlay variable
lat_mep,Percent Latinx MOE,Percent of population that is Hispanic/Latinx margin of error; ACS 2014-2018 5-year estimates; Overlay variable
nhwhi_p,Percent White,Percent of population that is non-Hispanic White; ACS 2014-2018 5-year estimates; Overlay variable
nhwhi_mep,Percent White MOE,Percent of population that is non-Hispanic White margin of error; ACS 2014-2018 5-year estimates; Overlay variable
delt_nhaa,Change in Black population since 2000,Change in Black population since 2000; ACS 2014-2018 5-year estimates and U.S. Decennial Census 2010; Overlay variable
delt_nhas,Change in Asian population since 2000,Change in Asian population since 2000; ACS 2014-2018 5-year estimates and U.S. Decennial Census 2010; Overlay variable
delt_lat,Change in Latinx population since 2000,Change in Latinx population since 2000; ACS 2014-2018 5-year estimates and U.S. Decennial Census 2010; Overlay variable
delt_nhwhi,Change in White population since 2000,Change in White population since 2000; ACS 2014-2018 5-year estimates and U.S. Decennial Census 2010; Overlay variable
delt_nhaap,Percent change in Black population,Percent change in Black population since 2000 (percent of tract population); ACS 2014-2018 5-year estimates and U.S. Decennial Census 2010; Overlay variable
delt_nhasp,Percent change in Asian population,Percent change in Asian population since 2000 (percent of tract population); ACS 2014-2018 5-year estimates and U.S. Decennial Census 2010; Overlay variable
delt_latp,Percent change in Latinx population,Percent change in Latinx population since 2000 (percent of tract population); ACS 2014-2018 5-year estimates and U.S. Decennial Census 2010; Overlay variable
