tract,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""25001010100""","""Barnstable Town, MA""",5,2962,1782,6189.46,44,52,52,24,31,29,20,21,24,6.74,10.51,1.7,2,2,19219,16589,20954,2,2,3,12590,10818,12696,9678,8322,9486,2750,2373,2997,161,123,213,19,15,25,5.8,2.8,3.03,0.29,3145,33,3473,84,16,77,2004,1291,984,983,65,35
"""25001010206""","""Barnstable Town, MA""",3,3109,1548,12667.27,53,62,62,30,37,35,23,25,27,8.75,1.23,1.96,2,2,23010,20546,24664,1,1,1,14533,12674,14574,11162,9670,10960,3293,2939,3528,78,65,86,9,8,10,2.2,3.6,0.5,0.12,2073,89,2016,81,30,65,1840,1574,1698,754,83,17
"""25001010208""","""Barnstable Town, MA""",3,1644,820,13409.7,42,50,50,25,31,29,23,26,28,8.98,0.63,2,2,2,23178,20723,24827,1,1,1,14841,12981,14861,11436,9943,11210,3317,2964,3551,88,73,99,10,9,12,2,3.3,0.32,0.06,1770,92,1851,81,41,56,1895,1307,1354,328,82,18
"""25001010304""","""Barnstable Town, MA""",3,1975,961,4533.31,57,67,67,34,43,40,23,25,27,9.1,2.02,1.92,2,2,22853,20442,24474,1,1,1,14282,12418,14351,10937,9431,10766,3270,2924,3501,74,62,84,9,7,10,2.2,4.9,0.53,0.21,2694,96,2444,81,25,92,1799,1806,1916,773,83,17
"""25001010306""","""Barnstable Town, MA""",3,2948,1330,4400.15,52,61,61,29,37,35,23,24,27,9.47,3.74,1.91,2,2,22742,20296,24382,1,1,1,14253,12381,14328,10915,9408,10747,3255,2903,3488,84,70,93,10,8,11,2.2,4,0.57,0.3,2883,93,2398,82,22,105,1241,1554,1605,864,84,16
"""25001010400""","""Barnstable Town, MA""",4,3020,1529,3832.27,59,70,69,38,47,44,21,23,25,6.34,3.98,1.77,2,2,21237,18710,22919,2,1,2,13255,11438,13356,10094,8665,9931,3039,2676,3279,122,97,147,14,11,17,3,5.9,0.99,0.4,3632,65,4208,83,18,118,1374,1995,2100,323,74,26
"""25001010500""","""Barnstable Town, MA""",3,2839,1352,5212.72,68,82,80,46,58,54,22,24,26,8.29,3.14,1.87,2,2,22489,19987,24158,0,0,1,13933,12107,13994,10685,9228,10494,3218,2859,3456,30,20,44,4,2,5,2.1,5.7,0.8,0.26,3368,88,3432,82,20,112,2025,2434,2781,205,83,17
"""25001010600""","""Barnstable Town, MA""",4,3419,1538,3634.01,57,67,67,34,43,40,22,24,26,8.96,5.53,1.91,2,2,22614,20117,24265,0,0,0,14153,12327,14187,10898,9440,10687,3236,2878,3471,19,9,29,2,1,3,2.9,2.5,0.94,0.42,3277,87,3524,84,16,125,2167,1809,1844,358,81,19
"""25001010700""","""Barnstable Town, MA""",4,2707,1278,6689.1,58,69,68,35,44,41,23,25,27,9.26,2.37,1.95,2,2,22779,20264,24446,0,0,0,14437,12591,14467,11157,9684,10938,3260,2899,3497,20,8,32,2,1,4,2.9,2.6,0.56,0.19,3164,89,2938,83,21,101,1869,1856,1990,687,83,17
"""25001010800""","""Barnstable Town, MA""",5,5114,2257,6988.5,66,79,77,43,54,51,23,25,27,9.16,3.48,1.91,2,2,22953,20450,24620,1,0,1,14250,12419,14284,10920,9459,10710,3285,2925,3522,46,34,52,5,4,6,2.3,4.6,1.35,0.32,3631,91,3058,82,27,89,1393,2285,2289,186,83,17
"""25001010900""","""Barnstable Town, MA""",4,4750,2015,7656.87,54,64,64,32,41,38,22,24,26,9.18,2.67,1.86,2,2,22100,19445,23857,1,1,1,13815,12007,13858,10597,9184,10376,3163,2782,3413,55,41,69,6,5,8,3.3,4.5,0.88,0.26,3575,68,3203,82,27,71,1349,1710,1849,965,80,20
"""25001011002""","""Barnstable Town, MA""",4,4258,1800,5300.69,56,67,66,34,43,40,22,24,26,9.04,3.13,1.86,2,2,21987,19484,23653,1,1,1,13810,11968,13885,10597,9132,10421,3147,2787,3384,66,49,80,8,6,10,3.3,4.9,0.71,0.34,4317,80,3710,83,19,100,1229,1807,2012,1064,81,19
"""25001011100""","""Barnstable Town, MA""",4,4560,1957,4748.53,55,66,65,33,41,39,22,24,27,9.69,4.23,1.91,2,2,22681,20227,24319,1,1,1,14224,12333,14319,10920,9396,10768,3246,2894,3479,58,44,72,7,5,9,2.1,4,0.83,0.41,3723,96,3066,82,21,112,1264,1739,1809,778,86,14
"""25001011200""","""Barnstable Town, MA""",4,3379,1673,3316.85,55,65,65,33,41,39,22,24,26,8.19,4.54,1.86,2,2,21871,19407,23514,2,1,2,13844,11993,13928,10598,9123,10430,3130,2776,3364,116,94,135,14,11,16,3.1,4.5,0.97,0.5,3919,87,3256,82,12,146,911,1736,1874,548,83,17
"""25001011300""","""Barnstable Town, MA""",3,2919,1337,3219.38,60,71,70,37,46,43,23,25,27,8.76,4.23,1.95,2,2,22777,20055,24560,0,0,0,14401,12554,14431,11141,9685,10911,3259,2869,3513,0,0,7,0,0,1,2.7,2.6,0.78,0.42,4770,85,3656,84,18,113,1264,1941,2001,261,91,9
