municipality,communityType,subtype
Boston,Inner Core,Metro Core Communities
Cambridge,Inner Core,Metro Core Communities
Chelsea,Inner Core,Metro Core Communities
Everett,Inner Core,Metro Core Communities
Malden,Inner Core,Metro Core Communities
Revere,Inner Core,Metro Core Communities
Somerville,Inner Core,Metro Core Communities
Arlington,Inner Core,Streetcar Suburbs
Belmont,Inner Core,Streetcar Suburbs
Brookline,Inner Core,Streetcar Suburbs
Medford,Inner Core,Streetcar Suburbs
Melrose,Inner Core,Streetcar Suburbs
Newton,Inner Core,Streetcar Suburbs
Waltham,Inner Core,Streetcar Suburbs
Watertown,Inner Core,Streetcar Suburbs
Winthrop,Inner Core,Streetcar Suburbs
Brockton,Regional Urban Centers,Major Regional Urban Centers
Lawrence,Regional Urban Centers,Major Regional Urban Centers
Lowell,Regional Urban Centers,Major Regional Urban Centers
New Bedford,Regional Urban Centers,Major Regional Urban Centers
Worcester,Regional Urban Centers,Major Regional Urban Centers
Springfield,Regional Urban Centers,Major Regional Urban Centers
Fall River,Regional Urban Centers,Major Regional Urban Centers
Amesbury,Regional Urban Centers,Sub-Regional Urban Centers
Amherst,Regional Urban Centers,Sub-Regional Urban Centers
Attleboro,Regional Urban Centers,Sub-Regional Urban Centers
Beverly,Regional Urban Centers,Sub-Regional Urban Centers
Chicopee,Regional Urban Centers,Sub-Regional Urban Centers
Clinton,Regional Urban Centers,Sub-Regional Urban Centers
Easthampton,Regional Urban Centers,Sub-Regional Urban Centers
Fitchburg,Regional Urban Centers,Sub-Regional Urban Centers
Framingham,Regional Urban Centers,Sub-Regional Urban Centers
Gardner,Regional Urban Centers,Sub-Regional Urban Centers
Gloucester,Regional Urban Centers,Sub-Regional Urban Centers
Haverhill,Regional Urban Centers,Sub-Regional Urban Centers
Holyoke,Regional Urban Centers,Sub-Regional Urban Centers
Leominster,Regional Urban Centers,Sub-Regional Urban Centers
Lynn,Regional Urban Centers,Sub-Regional Urban Centers
Marlborough,Regional Urban Centers,Sub-Regional Urban Centers
Methuen,Regional Urban Centers,Sub-Regional Urban Centers
Milford,Regional Urban Centers,Sub-Regional Urban Centers
Newburyport,Regional Urban Centers,Sub-Regional Urban Centers
North Adams,Regional Urban Centers,Sub-Regional Urban Centers
Northampton,Regional Urban Centers,Sub-Regional Urban Centers
 Norwood,Regional Urban Centers,Sub-Regional Urban Centers
Peabody,Regional Urban Centers,Sub-Regional Urban Centers
Pittsfield,Regional Urban Centers,Sub-Regional Urban Centers
Provincetown,Regional Urban Centers,Sub-Regional Urban Centers
Quincy,Regional Urban Centers,Sub-Regional Urban Centers
Salem,Regional Urban Centers,Sub-Regional Urban Centers
Somerset,Regional Urban Centers,Sub-Regional Urban Centers
Southbridge,Regional Urban Centers,Sub-Regional Urban Centers
Taunton,Regional Urban Centers,Sub-Regional Urban Centers
Webster,Regional Urban Centers,Sub-Regional Urban Centers
West Springfield,Regional Urban Centers,Sub-Regional Urban Centers
Westfield,Regional Urban Centers,Sub-Regional Urban Centers
Woburn,Regional Urban Centers,Sub-Regional Urban Centers
Avon,Maturing Suburbs,Mature Suburban Towns
Braintree,Maturing Suburbs,Mature Suburban Towns
Burlington,Maturing Suburbs,Mature Suburban Towns
Danvers,Maturing Suburbs,Mature Suburban Towns
Dedham,Maturing Suburbs,Mature Suburban Towns
Holbrook,Maturing Suburbs,Mature Suburban Towns
Hull,Maturing Suburbs,Mature Suburban Towns
