seq_id,ct10_id,submkt_id,muni,hdens10,mhi,incu35_p,inc3574_p,inc7599_p,inc100o_p,inc150o_p,medconr,medhv,rhu_p,bizbuy17_p,fd17_p,cash17_p,sales_pch,vacu_p,bdrm3o_p,yrblt59_p,yblt6099_p,yrblt00_p,hudp_hu,u1_p,u2_4_p,u5ov_p,ch_medhv_p,ch_medcr_p,ch_rhu_p,ch_pop_p,ch_hdens_p,totpop,nhaa,nhaa_me,nhas,nhas_me,nhwhi,nhwhi_me,lat,lat_me,nhaa_p,nhaa_mep,nhas_p,nhas_mep,lat_p,lat_mep,nhwhi_p,nhwhi_mep,delt_nhaa,delt_nhas,delt_lat,delt_nhwhi,delt_nhaap,delt_nhasp,delt_latp,delt_nhwhp,dltnhaamep,dltnhasmep,dltlatmep,dltnhwhmep,fb,fb_me,noncit,noncit_me,fb_p,fb_mep,noncit_p,noncit_mep,enlim,enlim_me,enlim_p,enlim_mep,hh,hh_me,hhkids,hhkidsme,hhkids_p,hhkidsmep,hh65o,hh65osme,hh65o_p,hh65osmep,mth_achv,mth_grwth,ela_achv,ela_grwth,bapl,bapl_me,bapl_p,bapl_mep,delt_bapl,deltbaplme,delt_baplp,deltbplmep,jobs45trn,unemp,unemp_me,unemp_p,unemp_mep,cb_50,cb_50_me,cb_50_p,cb_50_mep,sfha_p,surge41_p,surge8_p,dgrunits,holca_pct,holcb_pct,holcc_pct,holcd_pct,holcna_pct
1,25009201100,4,Nahant,1649.8,81384,16.6,31.5,8,43.9,29.1,1156,482000,29.5,13.7,5.9,19.6,-13.9,7.7,58.1,75.3,22.3,2.4,0,70.2,13.3,16.5,29.3,2.5,-7.8,-3.8,20.6,3495,35,48,49,37,3327,82,56,44,1,1.37,1.4,1.06,1.6,1.26,95.19,2.25,23.0168,3.06433,17.0545,-172.1,0.669604,0.13348,0.526212,-1.28577,1.37,1.06,1.26,2.25,279,100.837,87,52.0132,0.0798283,36.1421,0.0248927,59.7853,44,37.9704,1.27,86.2964,1572,107,292,63,18.58,3.8,631,93,40.14,5.25,497.7,44.4,504.9,37.5,1580,200.21,55.77,6.58,371,278.151,7.83,74.9732,1432.91,29,29,1.44,1.44,202,79.73,12.92,4.79,0.421244,,,3.39758,0,0,0,0,100
2,25009202101,4,Swampscott,1454.3,114783,11.6,19.8,9.8,58.7,41.3,1057,530000,16.9,0,0,21.2,4.7,7.9,77.2,78.2,18.8,3,0,71.7,23.1,3.4,18.9,-12.9,-39.1,-4.9,168.1,2112,84,131,49,48,1894,185,15,17,3.98,6.2,2.32,2.27,0.71,0.8,89.68,5.42,62.4179,30.7982,-13.0827,-177.1,2.9737,1.47131,-0.599408,-6.88887,6.2,2.27,0.8,5.42,317,84.3483,122,61.2647,0.150095,26.6083,0.0577652,50.217,14,22.1368,0.7,158.12,791,62,328,53,41.47,5.86,232,45,29.33,5.2,503.1,49,506.3,44.8,979,119.55,66.1,6.44,-85,259.916,-7.48,-305.783,13317.4,59,33,5.15,2.83,139,58.03,17.57,6.85,0.143261,,,5.93443,0,0,0,0,100
3,25009202102,4,Swampscott,2295,75160,26.6,23.3,11.3,38.8,18.6,1369,337500,33.9,15.4,2.4,30.9,-10,6.1,47.9,55.7,42.1,2.2,0,49.2,26.1,24.8,6.7,12.9,22.1,9.2,51.1,6656,44,60,29,32,5924,365,364,279,0.66,0.9,0.44,0.48,5.47,4.18,89,1.74,-16.4873,-21.9661,285.209,131.754,-0.348369,-0.409643,4.15649,-7.56118,0.9,0.48,4.18,1.74,758,208.553,239,126.398,0.113882,27.5136,0.0359075,52.8864,119,82.8888,1.93,69.6544,2454,139,797,115,32.48,4.31,931,129,37.94,4.8,503.1,49,506.3,44.8,1901,295.07,40.83,5.99,-19,409.456,-1.83,-2155.03,16051.6,84,66,2.4,1.88,531,168.82,21.77,6.1,0.035545,,,10.3408,0,0,0,0,100
4,25009202200,5,Swampscott,1752,135833,11.9,12.2,12.5,63.4,40,1426,606000,10.9,13,3,13,1.2,4,80.7,82.7,16.1,1.2,0,78.8,16.1,3.3,-2.1,6,-36.3,-3.1,1.9,5987,0,17,25,40,5808,365,114,106,0,0.28,0.42,0.67,1.9,1.77,97.01,1.93,-42.9994,-44.999,39.0011,-142.912,-0.697599,-0.715626,0.683258,0.465547,0.28,0.67,1.77,1.93,577,171.934,210,115.884,0.0963755,29.798,0.035076,55.1827,43,58.4753,0.78,135.989,2250,128,729,108,32.4,4.43,704,101,31.29,4.12,503.1,49,506.3,44.8,2994,350.43,70.75,7.47,170,501.322,1.23,294.895,6500.44,144,84,4.25,2.45,178,83.62,7.97,3.58,0.245033,,,4.73996,0,0,0,0,100
5,25009203100,5,Marblehead,1776.8,148750,6.6,11.3,11.2,70.9,48.9,2018,595000,4.5,10.8,0.8,18.3,-6.1,5.9,91.6,75.3,21.5,3.2,0,94.7,4.7,0.6,10.6,55.3,-51.6,-0.4,2.5,6960,144,212,161,128,6147,436,411,317,2.07,3.04,2.31,1.83,5.91,4.54,88.32,3.67,102.981,41.1108,341.973,-649.245,1.48777,0.608279,4.93023,-8.14665,3.04,1.83,4.54,3.67,954,217.905,286,130.549,0.137069,22.8412,0.041092,45.6463,92,84.7329,1.39,92.101,2443,110,986,131,40.36,5.04,775,86,31.72,3.22,505.2,56.4,509.2,54.4,3556,378.63,74.15,6.76,552,506.709,5.39,91.7952,5420.7,182,113,4.78,2.94,202,87.07,8.35,3.4,0.041624,,,4.33629,0,0,0,0,100
6,25009203200,4,Marblehead,1474.6,97500,11.4,25.9,15.3,47.4,33.8,1093,661000,15.9,18.2,1,25.3,-9.3,5.1,69.3,73.1,23.2,3.7,0,77.8,15.9,6.4,17.3,9.4,-20.7,0.2,0.6,4714,0,12,83,89,4473,254,139,105,0,0.25,1.76,1.89,2.95,2.22,94.89,2.82,-28.9998,25.0012,93.0012,-63.9929,-0.620184,0.519646,1.96628,-2.13739,0.25,1.89,2.22,2.82,434,113.513,173,70.531,0.0920662,26.1551,0.0366992,40.7693,36,46.8625,0.81,130.173,1847,100,589,70,31.89,3.37,710,97,38.44,4.82,505.2,56.4,509.2,54.4,2346,207.98,69.57,4.57,261,331.5,1.3,127.011,3340.04,54,38,2.22,1.56,267,87.49,14.85,4.51,0.142358,,,3.78137,0,0,0,0,100
7,25009203301,4,Marblehead,2830.2,76513,21.4,27.4,12.4,38.8,24.6,1208,525000,28,18.3,6.1,26.8,1.2,7.5,56.6,71.6,27.1,1.3,0,66.6,28.6,4.9,34.6,0.3,-22.5,-3,120.5,4005,25,22,73,66,3617,333,215,214,0.62,0.55,1.82,1.64,5.37,5.33,90.31,5.56,0.313198,30.0442,183.4,-534.299,0.0419608,0.814195,4.63009,-6.89229,0.55,1.64,5.33,5.56,290,88.519,103,55.9422,0.0724095,30.5238,0.0257179,54.3128,40,37.1798,1.04,92.9495,1794,112,460,73,25.64,3.74,752,82,41.92,3.75,505.2,56.4,509.2,54.4,1873,211.86,62.18,5.85,-90,337.96,-2.56,-375.511,4278.34,204,86,9.53,3.93,524,133.65,29.54,6.56,0.0835723,,,6.13399,0,0,0,0,100
8,25009203302,4,Marblehead,2440.4,95729,21.2,18.1,12,48.8,31,1495,635500,33.9,18.2,1.1,26.1,-7.9,8.7,56.8,72,22.5,5.6,0,64.2,26.3,9.5,33.3,24.1,-5.9,3.9,85.4,4809,84,93,0,12,4527,392,180,173,1.75,1.93,0,0.25,3.74,3.59,94.14,4.45,58.6866,-44.0454,147.599,270.292,1.17197,-1.00578,3.00012,-3.06231,1.93,0.25,3.59,4.45,601,212.347,399,188.605,0.124974,35.3324,0.0829694,47.2693,55,66.6098,1.19,121.109,2152,120,617,137,28.67,6.16,885,118,41.12,4.98,505.2,56.4,509.2,54.4,2684,319.24,73.92,7.31,318,429.791,4.84,135.154,3780.09,155,90,6.6,3.77,296,139.22,14.2,6.29,0.145512,,,6.70473,0,0,0,0,100
9,25009204101,3,Salem,4034.5,59650,32.8,26.8,9.1,31.3,13.2,986,325000,46.5,10.1,5.6,20.2,-3.7,7.8,41.9,86.2,11.8,2,0,31,57.2,11.8,12.5,-0.3,-17.1,-5.9,1.3,4811,146,98,137,91,3434,347,1024,250,3.03,2.03,2.85,1.88,21.28,5,71.38,5.44,-36.0598,-61.0456,624.69,-906.833,-0.473643,-0.96128,13.5955,-12.157,2.03,1.88,5,5.44,622,162.538,390,146.115,0.129287,26.1315,0.0810642,37.4653,134,81.2773,2.89,60.6547,1809,99,412,78,22.78,4.13,448,83,24.77,4.38,491,51.6,494.7,52,1240,187.66,42.12,5.55,249,292.603,5.77,117.511,12900.7,154,103,5.66,3.73,470,138.44,26.67,6.92,0.207653,,,9.85506,0,0,0,0,100
10,25009204102,6,Salem,1859,67599,25.4,32.1,14,28.5,15.1,989,325000,32.9,6.5,3.9,14.3,2.4,3.1,38,41.8,55.9,2.3,0,54.2,14.9,29.9,3.6,22.5,28.9,25.7,6.5,5016,304,251,52,53,3736,328,642,236,6.06,4.99,1.04,1.05,12.8,4.62,74.48,3.89,220.131,-2.06097,507.238,67.4995,3.94431,-0.323741,9.4005,-18.0615,4.99,1.05,4.62,3.89,753,165.781,218,90.3096,0.15012,22.0161,0.0434609,41.4264,119,59.9598,2.53,50.3864,1805,107,368,61,20.39,3.16,761,91,42.16,4.38,491,51.6,494.7,52,1405,185.41,45.78,4.93,72,280.888,7.25,390.122,11661.5,104,67,3.82,2.43,375,104.98,20.95,5.2,0.129422,,,9.14961,0,0,0,0,100
