TOWN_ID,STATE,COUNTY10,COUSUB10,COUSUB18,COUSUB20,TOWN10,COUNTY00,COUSUB00,GEOID,TOWN00,COUNTY90,MCDCCD90,COUSUB90,TOWN90,EMASS,MBTA13,MBTA52,MBTA59,MBTA65,MBTA_OTHER,MBTA175,MBTA176,RPA,MPO,RTA,MBTA,RIDE2014,Note
1,25,23,170,170,170,Abington,23,170,2502300170,Abington,23,5,170,Abington,1,0,0,0,0,1,1,1,OCPC,Old Colony,BAT,1,0,
2,25,17,380,380,380,Acton,17,380,2501700380,Acton,17,5,380,Acton,1,0,0,0,0,1,1,1,MAPC,Boston,LRTA,1,0,
3,25,5,520,520,520,Acushnet,5,520,2500500520,Acushnet,5,5,520,Acushnet,0,0,0,0,0,0,0,0,SRPEDD,SRPEDD,SRTA,0,0,
4,25,3,555,555,555,Adams,3,555,2500300555,Adams,3,5,555,Adams,0,0,0,0,0,0,0,0,BCRPC,Berkshire,BRTA,0,0,
5,25,13,840,840,840,Agawam,13,765,2501300840,Agawam,13,5,800,Agawam,0,0,0,0,0,0,0,0,PVPC,Pioneer Valley,PVTA,0,0,
6,25,3,975,975,975,Alford,3,975,2500300975,Alford,3,10,975,Alford,0,0,0,0,0,0,0,0,BCRPC,Berkshire,BRTA,0,0,
7,25,9,1260,1260,1260,Amesbury,9,1185,2500901260,Amesbury,9,5,1185,Amesbury,1,0,0,0,0,1,1,1,MVPC,Merrimack Valley,MVRTA,1,0,
8,25,15,1325,1325,1370,Amherst,15,1325,2501501370,Amherst,15,5,1325,Amherst,0,0,0,0,0,0,0,0,PVPC,Pioneer Valley,PVTA,0,0,
9,25,9,1465,1465,1465,Andover,9,1465,2500901465,Andover,9,10,1465,Andover,1,0,0,0,0,1,1,1,MVPC,Merrimack Valley,MVRTA,1,0,
10,25,17,1605,1605,1605,Arlington,17,1605,2501701605,Arlington,17,10,1605,Arlington,1,1,0,1,1,0,1,1,MAPC,Boston,MBTA,1,1,
11,25,27,1885,1885,1885,Ashburnham,27,1885,2502701885,Ashburnham,27,5,1885,Ashburnham,0,0,0,0,0,1,1,1,MRPC,Montachusett,MART,1,0,
12,25,17,1955,1955,1955,Ashby,17,1955,2501701955,Ashby,17,15,1955,Ashby,0,0,0,0,0,1,1,1,MRPC,Montachusett,MART,1,0,
13,25,11,2095,2095,2095,Ashfield,11,2095,2501102095,Ashfield,11,5,2095,Ashfield,0,0,0,0,0,0,0,0,FCPD,Franklin County,FRTA,0,0,
14,25,17,2130,2130,2130,Ashland,17,2130,2501702130,Ashland,17,20,2130,Ashland,1,0,0,0,0,1,1,1,MAPC,Boston,MWRTA,1,0,
15,25,27,2480,2480,2480,Athol,27,2480,2502702480,Athol,27,10,2480,Athol,0,0,0,0,0,0,0,0,MRPC,Montachusett,FRTA,0,0,
16,25,5,2690,2690,2690,Attleboro,5,2690,2500502690,Attleboro,5,10,2690,Attleboro,1,0,0,0,0,1,1,1,SRPEDD,SRPEDD,GATRA,1,0,
17,25,27,2760,2760,2760,Auburn,27,2760,2502702760,Auburn,27,15,2760,Auburn,0,0,0,0,0,1,1,1,CMRPC,Central Mass.,WRTA,1,0,
18,25,21,2935,2935,2935,Avon,21,2935,2502102935,Avon,21,5,2935,Avon,1,0,0,0,0,0,0,0,OCPC,Old Colony,BAT,0,0,
19,25,17,3005,3005,3005,Ayer,17,3005,2501703005,Ayer,17,25,3005,Ayer,1,0,0,0,0,1,1,1,MRPC,Montachusett,MART,1,0,
20,25,1,3690,3690,3690,Barnstable,1,3600,2500103690,Barnstable,1,5,3635,Barnstable,0,0,0,0,0,0,0,0,CCC,Cape Cod,CCRTA,0,0,
21,25,27,3740,3740,3740,Barre,27,3740,2502703740,Barre,27,20,3740,Barre,0,0,0,0,0,0,0,0,CMRPC,Central Mass.,WRTA,0,0,
22,25,3,4545,4545,4545,Becket,3,4545,2500304545,Becket,3,15,4545,Becket,0,0,0,0,0,0,0,0,BCRPC,Berkshire,BRTA,0,0,
23,25,17,4615,4615,4615,Bedford,17,4615,2501704615,Bedford,17,30,4615,Bedford,1,0,1,1,1,0,1,1,MAPC,Boston,MBTA,1,1,
24,25,15,4825,4825,4825,Belchertown,15,4825,2501504825,Belchertown,15,10,4825,Belchertown,0,0,0,0,0,0,0,0,PVPC,Pioneer Valley,PVTA,0,0,
25,25,21,4930,4930,4930,Bellingham,21,4930,2502104930,Bellingham,21,10,4930,Bellingham,1,0,0,0,0,1,1,1,MAPC,Boston,GATRA,1,0,
26,25,17,5070,5070,5070,Belmont,17,5070,2501705070,Belmont,17,35,5070,Belmont,1,1,0,1,1,0,1,1,MAPC,Boston,MBTA,1,1,
27,25,5,5280,5280,5280,Berkley,5,5280,2500505280,Berkley,5,15,5280,Berkley,0,0,0,0,0,1,1,1,SRPEDD,SRPEDD,GATRA,1,0,
28,25,27,5490,5490,5490,Berlin,27,5490,2502705490,Berlin,27,25,5490,Berlin,1,0,0,0,0,0,0,0,CMRPC,Central Mass.,WRTA,0,0,
29,25,11,5560,5560,5560,Bernardston,11,5560,2501105560,Bernardston,11,10,5560,Bernardston,0,0,0,0,0,0,0,0,FCPD,Franklin County,FRTA,0,0,
30,25,9,5595,5595,5595,Beverly,9,5595,2500905595,Beverly,9,15,5595,Beverly,1,0,1,1,1,0,1,1,MAPC,Boston,MBTA,1,1,
31,25,17,5805,5805,5805,Billerica,17,5805,2501705805,Billerica,17,40,5805,Billerica,1,0,0,0,0,1,1,1,NMCOG,Northern Middlesex,LRTA,1,0,
32,25,27,6015,6015,6015,Blackstone,27,6015,2502706015,Blackstone,27,30,6015,Blackstone,1,0,0,0,0,0,0,0,CMRPC,Central Mass.,,0,0,
33,25,13,6085,6085,6085,Blandford,13,6085,2501306085,Blandford,13,10,6085,Blandford,0,0,0,0,0,0,0,0,PVPC,Pioneer Valley,FRTA,0,0,
34,25,27,6365,6365,6365,Bolton,27,6365,2502706365,Bolton,27,35,6365,Bolton,1,0,0,0,0,0,0,0,MAPC,Boston,MART,0,0,
35,25,25,7000,7000,7000,Boston,25,7000,2502507000,Boston,25,5,7000,Boston,1,1,0,1,1,0,1,1,MAPC,Boston,MBTA,1,1,
