name,address,type
JRI METROWEST BEHAVIORAL HEALTH CENTER,"360 MASSACHUSETTS AVENUE, 1ST FLOOR, ACTON, MA 01720",Licensed Clinic
MINUTECLINIC,"344 GREAT ROAD, ACTON, MA 01720",Licensed Clinic
NEW ENGLAND CENTER FOR HEALTHY MINDS,"289 GREAT ROAD, SUITE G1, ACTON, MA 01720",Licensed Clinic
ARBOUR COUNSELING SERVICES/BRIGHTON,"14 FORDHAM ROAD SECOND FLOOR, ALLSTON, MA 02135",Licensed Clinic
CHARLES RIVER COMMUNITY HEALTH,"30 ATHOL STREET, ALLSTON, MA 02134",Licensed Clinic
AFC URGENT CARE ARLINGTON,"1398 MASSACHUSETTS AVENUE, ARLINGTON, MA 02476",Licensed Clinic
ARLINGTON YOUTH CONSULTATION CTR,"670R MASSACHUSETTS AVENUE, ARLINGTON, MA 02476",Licensed Clinic
COLUMN HEALTH,"339 MASSACHUSETTS AVENUE, ARLINGTON, MA 02474",Licensed Clinic
MINUTECLINIC,"414 UNION STREET, ASHLAND, MA 01721",Licensed Clinic
AFC URGENT CARE BEDFORD,"154 GREAT ROAD, BEDFORD, MA 01730",Licensed Clinic
CARLETON WILLARD VILLAGE OPT,"100 OLD BILLERICA ROAD, BEDFORD, MA 01730",Licensed Clinic
EDINBURG CENTER (THE),"205 BURLINGTON ROAD, 1ST FL, BEDFORD, MA 01730",Licensed Clinic
CONVENIENTMD URGENT CARE,"245 HARTFORD  AVENUE, BELLINGHAM, MA 02021",Licensed Clinic
AFC URGENT CARE BEVERLY,"50 DODGE STREET GRND FL, BEVERLY, MA 01915",Licensed Clinic
BEVERLY CLINIC,"800 CUMMINGS CENTER SUITE 266T, BEVERLY, MA 01915",Licensed Clinic
"HEALTH QUARTERS, INC.","100 CUMMINGS CENTER 100-E, BEVERLY, MA 01915",Licensed Clinic
MINUTECLINIC,"19 DODGE STREET, BEVERLY, MA 01915",Licensed Clinic
NORTH SHORE COUNSELING CENTER,"100 CUMMINGS CENTER SUITE 307-E, BEVERLY, MA 01915",Licensed Clinic
2020 INC,"33 ARCH STREET, 17TH FLOOR, BOSTON, MA 02110",Licensed Clinic
ALBERT & JESSIE DANIELSEN INSTITUTE,"185 BAY STATE ROAD, BOSTON, MA 02215",Licensed Clinic
B.U. DENTAL HEALTH CENTER,"930 COMMONWEALTH AVE SOUTH STE 101, BOSTON, MA 02215",Licensed Clinic
B.U. GOLDMAN SCHOOL OF DENTAL MEDIC,"635 ALBANY STREET, FLOORS 1-7, BOSTON, MA 02118",Licensed Clinic
BHCHP FAMILY CARE CLINIC,"1785 COLUMBUS AVENUE, STE 200, BOSTON, MA 02119",Licensed Clinic
BOSTON ASAP,"25 KINGSTON STREET, 3RD FLOOR, BOSTON, MA 02108",Licensed Clinic
BOSTON HC HOMELESS @ HOPEFOUND,"170 MORTON STREET JAMAICA PLAIN, BOSTON, MA 02130",Licensed Clinic
BOSTON HC HOMELESS @ MASS GENERAL,"55 FRUIT STREET, BOSTON, MA 02114",Licensed Clinic
BOSTON HC HOMELESS @ SOUTH HMPTN ST,"112 SOUTH HAMPTON STREET, BOSTON, MA 02118",Licensed Clinic
BOSTON HC HOMELESS@NE SH HOMELESS V,"17 COURT STREET, BOSTON, MA 02108",Licensed Clinic
BOSTON HC HOMELESS@ST FRANCIS HOUSE,"39 BOYLSTON STREET, BOSTON, MA 02118",Licensed Clinic
BOSTON HEAL CHP WOMEN'S CLINIC,"363 ALBANY STREET, BOSTON, MA 02118",Licensed Clinic
BOSTON HEALTH CARE HOMELESS PROGRAM,"444 HARRISON AVENUE, BOSTON, MA 02118",Licensed Clinic
BOSTON HEALTH CARE HOMELESS PROGRAM,"780 ALBANY STREET, 1ST & 2ND FLOOR, BOSTON, MA 02118",Licensed Clinic
BOSTON UNIVERSITY REHAB SERVICES,"635 COMMONWEALTH AVENUE, 6TH FLOOR, BOSTON, MA 02215",Licensed Clinic
BRIGHTON ALLSTON MENTAL HLTH ASSOC,"77B WARREN STREET, BASEMENT, BOSTON, MA 02135",Licensed Clinic
BU PT CTR @ RYAN CTR SPRTS MED & RE,"915 COMMONWEALTH AVENUE, REAR, BOSTON, MA 02215",Licensed Clinic
CCA PRIMARY CARE,"30 NORTHAMPTON STREET, BOSTON, MA 02118",Licensed Clinic
CENTER FOR EFFECTIVE CHILD THERAPY,"53 PARKER HILL AVENUE, BOSTON, MA 02120",Licensed Clinic
CHILDREN'S SRVCS OF ROXBURY BHVL HC,"520 DUDLEY STREET   ROXBURY, BOSTON, MA 02119",Licensed Clinic
CTR ANXIETY & RELATED DISORDER @ BU,"900 COMMONWEALTH AVNUE, 2ND FLOOR, BOSTON, MA 02215",Licensed Clinic
DIMOCK COMMUNITY HEALTH CENTER,"45 DIMOCK STREET, BOSTON, MA 02119",Licensed Clinic
EAST BOSTON COUNSELING CTR,"14 PORTER STREET, BOSTON, MA 02128",Licensed Clinic
EATING DISORDER CENTER OF BOSTON,"419 BOYLSTON STREET, SUITE #501B, BOSTON, MA 02116",Licensed Clinic
FAMILIAS UNIDAS OUTPATIENT CLINIC,"245 EUSTIS STREET ROXBURY, BOSTON, MA 02119",Licensed Clinic
FENWAY COMMUNITY HEALTH CENTER,"1340 BOYLSTON ST, 1 2 3 4 6 5 & 7 F, BOSTON, MA 02115",Licensed Clinic
FENWAY SOUTH END,"142 BERKELEY ST.-2ND FL-SUITE 203, BOSTON, MA 02115",Licensed Clinic
FORSYTH DENTAL HYGIENE PROGRAM,"179 LONGWOOD AVENUE, BOSTON, MA 02115",Licensed Clinic
FREEDOM TRAIL CLINIC,"25 STANIFORD STREET, BOSTON, MA 02116",Licensed Clinic
GAVIN FOUNDATION CTR FOR RECOVERY S^,"210 OLD COLONY AVENUE, BOSTON, MA 02127",Licensed Clinic
GEIGER-GIBSON COMMUNITY HEALTH CTR,"250 MOUNT VERNON STREET, BOSTON, MA 02125",Licensed Clinic
HARVARD SCHOOL OF DENTAL MEDICAL,"188 LONGWOOD AVENUE, BOSTON, MA 02115",Licensed Clinic
