destination,mode,time,region,type,Total,EJ,Non-EJ,Ratio Aggregation Area,Ratio MPO
"Healthcare, non-emergency",Bike,15,Developing Suburbs: Maturing New England Towns,"Total population, adult",0.084,NA,NA,NA,NA
"Healthcare, non-emergency",Bike,15,Developing Suburbs: Maturing New England Towns,Total population,0.083,NA,NA,NA,NA
"Healthcare, non-emergency",Bike,15,Developing Suburbs: Maturing New England Towns,Total households,0.088,NA,NA,NA,NA
"Healthcare, non-emergency",Bike,15,Developing Suburbs: Maturing New England Towns,"Minority status, adult",NA,0.076,0.085,0.889,1.932
"Healthcare, non-emergency",Bike,15,Developing Suburbs: Maturing New England Towns,Minority status,NA,0.075,0.085,0.883,1.989
"Healthcare, non-emergency",Bike,15,Developing Suburbs: Maturing New England Towns,"Income status, adult",NA,0.113,0.081,1.399,1.772
"Healthcare, non-emergency",Bike,15,Developing Suburbs: Maturing New England Towns,Income status,NA,0.11,0.08,1.368,1.827
"Healthcare, non-emergency",Bike,15,Developing Suburbs: Maturing New England Towns,Household vehicles,NA,0.105,0.087,1.211,2.611
"Healthcare, non-emergency",Bike,30,Developing Suburbs: Maturing New England Towns,"Total population, adult",0.368,NA,NA,NA,NA
"Healthcare, non-emergency",Bike,30,Developing Suburbs: Maturing New England Towns,Total population,0.366,NA,NA,NA,NA
"Healthcare, non-emergency",Bike,30,Developing Suburbs: Maturing New England Towns,Total households,0.375,NA,NA,NA,NA
"Healthcare, non-emergency",Bike,30,Developing Suburbs: Maturing New England Towns,"Minority status, adult",NA,0.365,0.369,0.989,1.745
"Healthcare, non-emergency",Bike,30,Developing Suburbs: Maturing New England Towns,Minority status,NA,0.375,0.364,1.03,1.775
"Healthcare, non-emergency",Bike,30,Developing Suburbs: Maturing New England Towns,"Income status, adult",NA,0.405,0.364,1.114,1.666
"Healthcare, non-emergency",Bike,30,Developing Suburbs: Maturing New England Towns,Income status,NA,0.397,0.362,1.095,1.698
"Healthcare, non-emergency",Bike,30,Developing Suburbs: Maturing New England Towns,Household vehicles,NA,0.406,0.374,1.085,2.508
"Healthcare, non-emergency",Bike,45,Developing Suburbs: Maturing New England Towns,"Total population, adult",0.935,NA,NA,NA,NA
"Healthcare, non-emergency",Bike,45,Developing Suburbs: Maturing New England Towns,Total population,0.938,NA,NA,NA,NA
"Healthcare, non-emergency",Bike,45,Developing Suburbs: Maturing New England Towns,Total households,0.935,NA,NA,NA,NA
"Healthcare, non-emergency",Bike,45,Developing Suburbs: Maturing New England Towns,"Minority status, adult",NA,0.901,0.939,0.96,1.601
"Healthcare, non-emergency",Bike,45,Developing Suburbs: Maturing New England Towns,Minority status,NA,0.933,0.938,0.995,1.615
"Healthcare, non-emergency",Bike,45,Developing Suburbs: Maturing New England Towns,"Income status, adult",NA,0.894,0.94,0.951,1.537
"Healthcare, non-emergency",Bike,45,Developing Suburbs: Maturing New England Towns,Income status,NA,0.881,0.944,0.933,1.551
"Healthcare, non-emergency",Bike,45,Developing Suburbs: Maturing New England Towns,Household vehicles,NA,0.897,0.937,0.958,2.261
"Healthcare, non-emergency",Bike,60,Developing Suburbs: Maturing New England Towns,"Total population, adult",1.911,NA,NA,NA,NA
"Healthcare, non-emergency",Bike,60,Developing Suburbs: Maturing New England Towns,Total population,1.926,NA,NA,NA,NA
"Healthcare, non-emergency",Bike,60,Developing Suburbs: Maturing New England Towns,Total households,1.905,NA,NA,NA,NA
