type,id,weight,lon,lat
essentialPlace,1,48,-71.06042952044545,42.35136206786513
essentialPlace,10,7,-71.05901952404093,42.30522509849916
essentialPlace,1001,8,-71.20030246651287,42.48482698359065
essentialPlace,1003,10,-70.95258797423696,42.17385277959381
essentialPlace,1004,15,-71.19882984828826,42.191972062451335
essentialPlace,1005,9,-71.23665236730433,42.27717533802381
essentialPlace,1006,24,-71.41725875535258,42.27729140586565
essentialPlace,1007,6,-70.97496602781197,42.54424682096504
essentialPlace,1008,9,-71.46397150385336,42.25915290729787
essentialPlace,1009,5,-71.27348118025334,42.49106802524268
essentialPlace,1011,28,-70.88177458726403,42.55521603588782
essentialPlace,1012,5,-71.46223340245555,42.11658923670209
essentialPlace,1013,15,-71.00425713991064,42.20560134197027
essentialPlace,1014,5,-70.98685055397785,42.18972217286784
essentialPlace,1015,8,-71.20201046435352,42.51275096524318
essentialPlace,1016,6,-70.80317461219545,42.22216114602114
essentialPlace,1017,10,-71.17900348850712,42.23236215123957
essentialPlace,1018,11,-71.1739814895019,42.245757141947486
essentialPlace,1019,8,-71.40296441257716,42.279578126602416
essentialPlace,1021,8,-71.38467042973075,42.08158225741193
essentialPlace,1023,10,-71.54955736023523,42.34662908681744
essentialPlace,1024,9,-70.70477665211544,42.09134922927391
essentialPlace,1025,9,-71.45617138599118,42.431536027315985
essentialPlace,1026,9,-71.30636044907278,42.18693018510808
essentialPlace,1027,5,-71.4051644184818,42.151404392591935
essentialPlace,1028,15,-71.52004733546748,42.13980876556737
essentialPlace,1029,5,-71.37647942045477,42.28252712376495
essentialPlace,1030,7,-71.19438948712751,42.1712591916774
essentialPlace,1031,8,-70.95036154457604,42.54846293284018
essentialPlace,1032,28,-70.92613399795593,42.52502431611211
essentialPlace,1034,28,-70.89289456551424,42.51791295193641
essentialPlace,1035,11,-71.10063851120518,42.48053109300279
essentialPlace,1036,7,-70.90363556492522,42.48183397554016
essentialPlace,1037,11,-71.42185940154965,42.36074407306076
essentialPlace,1038,12,-71.29188844779335,42.299549110218045
essentialPlace,1040,5,-70.92424557251832,42.21558915397071
essentialPlace,1043,7,-70.78320417388173,42.63154412023986
essentialPlace,1044,9,-71.36213188919024,42.16592965677718
essentialPlace,1045,6,-71.30073844074711,42.36735406496639
essentialPlace,1046,6,-71.24941647501282,42.065901263413345
essentialPlace,1047,12,-71.150854482871,42.48176198405992
essentialPlace,1048,8,-70.80424957253467,42.241470554970995
essentialPlace,1049,12,-71.3534887066056,42.458827836968496
essentialPlace,1050,11,-70.61804764858333,42.657826849573986
essentialPlace,1052,6,-71.52033553126206,42.229055618262784
essentialPlace,1053,8,-71.22633146009339,42.44735300913709
essentialPlace,1054,5,-71.32725448917384,42.11829609955516
essentialPlace,1055,7,-70.77054677448602,42.57432008885878
essentialPlace,1056,5,-71.01562431710755,42.5933368036697
essentialPlace,1058,7,-71.47452940041799,42.089320255892744
essentialPlace,1059,11,-70.93622054863071,42.56520792172733
essentialPlace,1060,10,-71.04378844738113,42.16512380730067
essentialPlace,1061,7,-70.91398758122185,42.13067721044652
essentialPlace,1064,35,-70.66041074522633,42.61306757325709
essentialPlace,1065,12,-71.06983850904447,42.502770967235676
essentialPlace,1066,8,-70.83698999981861,42.67827000120699
essentialPlace,1067,6,-71.19298846825289,42.504454970174265
essentialPlace,1069,13,-71.1028094967261,42.52346295448638
essentialPlace,107,14,-70.94056555346368,42.46730398672046
essentialPlace,1070,5,-71.3463699997188,42.28285000095648
essentialPlace,1071,7,-71.22176998761367,42.22550641672966
essentialPlace,1072,19,-70.85533557907584,42.49920096289786
essentialPlace,1073,9,-71.13760274710384,42.45286731920446
essentialPlace,1074,8,-71.36646428905331,42.36283655208838
essentialPlace,1075,6,-71.56765521599938,42.391560631322584
essentialPlace,1076,5,-71.25322249545508,42.144506122219816
essentialPlace,1077,7,-70.87522312315939,42.61102557394817
essentialPlace,1078,5,-71.07978250087092,42.57356792081115
essentialPlace,108,9,-71.04082274109895,42.2598941661306
essentialPlace,1082,9,-70.88136758890101,42.173556180700686
essentialPlace,1084,5,-71.14564763370377,42.15880021675802
essentialPlace,1085,6,-71.1876474860323,42.21752416080071
essentialPlace,1087,10,-71.27461545212944,42.31199810058882
essentialPlace,1089,14,-71.40188970738137,42.30384435964126
essentialPlace,1091,5,-71.47380937777363,42.476120998068325
essentialPlace,1092,8,-71.40004382119704,42.085384985248695
essentialPlace,1093,6,-71.39515736776295,42.45780783642972
essentialPlace,1096,12,-71.50284538732899,42.14843621722866
essentialPlace,1099,5,-70.72506963961541,42.19412816160599
essentialPlace,11,53,-71.03818058453871,42.372278676322544
essentialPlace,1102,8,-70.9213275722597,42.24949613170664
essentialPlace,1103,7,-71.10844749185827,42.57525992039133
essentialPlace,1104,8,-70.90759556036949,42.51859895175521
essentialPlace,1106,6,-71.14821630358293,42.13995544839132
essentialPlace,1107,6,-71.15260249887177,42.20411216856334
essentialPlace,1113,5,-71.10060549885947,42.49540197316795
essentialPlace,1115,6,-71.05889653074117,42.18941117569449
essentialPlace,1116,5,-70.64010714003183,42.62263399502384
essentialPlace,1117,5,-71.1156704877493,42.589505911214204
essentialPlace,1119,6,-70.9332805500393,42.55115593082537
essentialPlace,112,6,-71.07745751507935,42.34832107004362
essentialPlace,1120,6,-70.9454335672354,42.201404164172104
essentialPlace,1125,5,-70.9198055572498,42.50370296161769
essentialPlace,1131,5,-71.47094064873728,42.54657985115449
