type,id,lon,lat
Hospital,1,-71.10568060531216,42.33982866834971
Hospital,2,-71.1479797468721,42.34958256243005
Hospital,3,-71.0635155837915,42.34965180606956
Hospital,4,-71.55473313558319,42.35530397190025
Hospital,5,-71.06645059319797,42.363088674178
Hospital,6,-71.0687721041268,42.36320638537187
Hospital,7,-71.13423773153694,42.373894410361174
Hospital,8,-71.10432577080972,42.37473640920728
Hospital,9,-71.0397496940688,42.40932831657088
Hospital,10,-71.11149734929221,42.425969438694295
Hospital,11,-71.37598358822713,42.451598916770585
Hospital,12,-71.06110824691841,42.46022179117508
Hospital,13,-71.12278520731363,42.46597458571903
Hospital,14,-71.2055668811154,42.48489262505172
Hospital,15,-70.97973220634286,42.50193060210228
Hospital,16,-70.90665878148968,42.511066253548535
Hospital,17,-70.94671436435176,42.53743282960886
Hospital,18,-70.68065454512731,42.62520347895315
Hospital,19,-71.52869556246355,42.13318713479981
Hospital,20,-70.95420605556093,42.1757245525181
Hospital,21,-71.20206073196225,42.188579592319726
Hospital,22,-71.07764517233355,42.25153044762241
Hospital,23,-71.23665236730433,42.27717533802381
Hospital,24,-71.06605058890175,42.2780386578327
Hospital,25,-71.3353759855718,42.28034156262756
Hospital,26,-71.41860522711184,42.28433242186657
Hospital,27,-71.12817461844914,42.3014439600516
Hospital,28,-71.24576849785042,42.330759449243786
Hospital,29,-71.0729576690406,42.334722477231644
Hospital,30,-71.1074810738079,42.33611515620587
Hospital,31,-71.07088203224164,42.33686248613535
Hospital,32,-71.10488285587432,42.337474474477084
Hospital,33,-71.10908060603116,42.33780866691366
Hospital,34,-70.8754624808915,42.56390877122485
